participations,driverref,fastestlaps,races_finished,first_win,did_not_start,last_win,podiums,first_race,last_race,poles,top_ten,wins,finished_in_points,did_not_finish,points
11,gachot,0,7,,1,,0,1991-03-10,1991-11-03,0,6,0,3,3,4.0
12,caffi,0,2,,10,,0,1991-03-10,1991-11-03,0,1,0,0,0,0.0
12,barbazza,0,0,,12,,0,1991-04-28,1991-09-29,0,0,0,0,0,0.0
13,chaves,0,0,,13,,0,1991-03-10,1991-09-22,0,0,0,0,0,0.0
14,moreno,0,9,,0,,0,1991-03-10,1991-11-03,0,7,0,3,5,8.0
14,grouillard,0,1,,10,,0,1991-03-10,1991-09-29,0,1,0,0,3,0.0
14,capelli,0,3,,0,,0,1991-03-10,1991-09-29,0,2,0,1,11,1.0
15,bernard,0,2,,2,,0,1991-03-10,1991-10-20,0,2,0,1,11,1.0
15,prost,0,8,,0,,5,1991-03-10,1991-10-20,0,8,0,8,7,34.0
16,senna,0,15,1991-03-10,0,1991-11-03,12,1991-03-10,1991-11-03,8,15,7,14,1,96.0
16,satoru_nakajima,0,7,,0,,0,1991-03-10,1991-11-03,0,3,0,1,9,2.0
16,blundell,0,5,,2,,0,1991-03-10,1991-11-03,0,2,0,1,9,1.0
16,boutsen,0,10,,0,,0,1991-03-10,1991-11-03,0,6,0,0,6,0.0
16,brundle,0,9,,2,,0,1991-03-10,1991-11-03,0,3,0,1,5,2.0
16,mansell,0,10,1991-07-07,0,1991-09-29,9,1991-03-10,1991-11-03,2,10,5,10,6,72.0
16,alesi,0,8,,0,,3,1991-03-10,1991-11-03,0,7,0,7,8,21.0
16,cesaris,0,9,,1,,0,1991-03-10,1991-11-03,0,8,0,4,6,9.0
16,alboreto,0,2,,7,,0,1991-03-10,1991-11-03,0,0,0,0,7,0.0
16,comas,0,8,,3,,0,1991-03-10,1991-11-03,0,4,0,0,5,0.0
16,piquet,0,11,1991-06-02,0,1991-06-02,3,1991-03-10,1991-11-03,0,10,1,8,5,26.5
16,berger,0,9,1991-10-20,0,1991-10-20,6,1991-03-10,1991-11-03,2,9,1,9,7,43.0
16,gugelmin,0,8,,0,,0,1991-03-10,1991-11-03,0,4,0,0,8,0.0
16,hakkinen,0,9,,1,,0,1991-03-10,1991-11-03,0,3,0,1,6,2.0
16,tarquini,0,3,,11,,0,1991-03-10,1991-11-03,0,1,0,0,2,0.0
16,larini,0,3,,11,,0,1991-03-10,1991-11-03,0,1,0,0,2,0.0
16,lehto,0,5,,0,,1,1991-03-10,1991-11-03,0,2,0,1,11,4.0
16,martini,0,9,,0,,0,1991-03-10,1991-11-03,0,6,0,2,7,6.0
16,suzuki,0,1,,4,,0,1991-03-10,1991-11-03,0,1,0,1,11,1.0
16,modena,0,9,,0,,1,1991-03-10,1991-11-03,0,5,0,3,7,10.0
16,morbidelli,0,8,,0,,0,1991-03-10,1991-11-03,0,5,0,1,8,0.5
16,patrese,0,11,1991-06-16,0,1991-09-22,8,1991-03-10,1991-11-03,4,11,2,11,5,53.0
16,pirro,0,9,,3,,0,1991-03-10,1991-11-03,0,7,0,1,4,1.0
16,poele,0,1,,15,,0,1991-03-10,1991-11-03,0,1,0,0,0,0.0
2,hattori,0,0,,2,,0,1991-10-20,1991-11-03,0,0,0,0,0,0.0
2,wendlinger,0,1,,0,,0,1991-10-20,1991-11-03,0,0,0,0,1,0.0
3,zanardi,0,2,,0,,0,1991-09-29,1991-11-03,0,2,0,0,1,0.0
4,bartels,0,0,,4,,0,1991-07-28,1991-09-29,0,0,0,0,0,0.0
4,bailey,0,1,,3,,0,1991-03-10,1991-05-12,0,1,0,1,0,1.0
6,michael_schumacher,0,3,,0,,0,1991-08-25,1991-11-03,0,3,0,3,3,4.0
6,johansson,0,0,,5,,0,1991-03-10,1991-07-14,0,0,0,0,1,0.0
8,herbert,0,5,,1,,0,1991-06-02,1991-11-03,0,3,0,0,2,0.0
